,Unnamed: 0,id,screen_name,created_at,original_text,clean_text,polarity,subjectivity,favorite_count,retweet_count,possibly_sensitive,hashtags,user_mentions,place,user_name,location,description,followers_count,friends_count,listed_count,statuses_count,favourites_count,verified,sentiment,sentimentScore
0,0,1200462491156963328,cylexi,Fri Nov 29 17:12:16 +0000 2019,"It's another SustyFriday. Today we  wade into Air Pollution in Nigeria: Causes, Effects and Solutions
#Sustyfacts #Sustyfriday @Sustyvibes

THREAD.. https://t.co/J0hK3KuJH1",It 's another SustyFriday Today wade Air Pollution Nigeria Causes Effects Solutions ..,0.0,0.0,13.0,8.0,False,"Sustyfacts, Sustyfriday",SustyVibes,,Mujeeb Balogun,,Environment ¦ Conservation ¦ Toxicology,1251,2119,3,2015,2378,False,NEUTRAL,[0.53431416]
1,1,1200469208917823488,TundeLukmanAni,Fri Nov 29 17:38:57 +0000 2019,Get the required information and knowledge about #AirPollution in #Nigeria Thank you @Cylexi for the thread #StareDownOnPollution #BeatAirPollution #SustyFacts #SustyFriday #SOTSOnDuty https://t.co/gNk0lPpz7U,Get required information knowledge Thank thread,0.0,0.0,0.0,1.0,False,"AirPollution, Nigeria, StareDownOnPollution, BeatAirPollution, SustyFacts, SustyFriday, SOTSOnDuty",cylexi,"Lagos, Nigeria",T.L.A🌱☘️♻️,Nigeria,"AIESECer |Social Entrepreneur | Fitness/Health/Sustainability Advocate. PM @gomasterstroke #CodedFitnessHub 
Volunteer @sustyvibes @PickThatTrash @LagosfoodBank",771,1096,19,8571,13921,False,POSITIVE,[0.9850148]
2,2,1191998173176356864,pinnaclehealthr,Wed Nov 06 08:38:05 +0000 2019,"#AirPollution kills 7 million people every year and is a main driver of #ClimateChange. 
Children 👧🏽🧒🏻👧🏾🧒🏼👧🏻🧒🏿 who have been exposed to high levels of air pollution may be at greater risk for chronic diseases such… https://t.co/mytj6Sp6Nw",kills million people every year main driver Children exposed high levels air pollution may greater risk chronic diseases,0.27555555555555555,0.4577777777777778,0.0,0.0,False,"AirPollution, ClimateChange",,"Lagos, Nigeria",Pinnacle Health Radio 🎙️,"Lagos, Nigeria",Pinnacle Health Radio - Africa's first online health radio. ...delivering real time health solutions,1603,2773,6,6354,892,False,NEGATIVE,[0.09114578]
3,3,1211632839185313798,salimdambam,Mon Dec 30 12:59:14 +0000 2019,"Climate Change can Bastardize the ecological footprints of a Nation. 

Just last month New Delhi witnessed it's worst air pollution of 2019.
https://t.co/cALUlRY59F",Climate Change Bastardize ecological footprints Nation Just last month New Delhi witnessed 's worst air pollution,-0.1159090909090909,0.5303030303030303,0.0,1.0,False,,,"Ikeja, Nigeria",Salimu,"Abuja, Nigeria","Sabr ya Nafs, this Dunya isn't home!",1543,805,1,40242,16674,False,NEGATIVE,[0.02769071]
4,4,1191944548412469248,AJEnglish,Wed Nov 06 05:05:00 +0000 2019,"Pollution in Delhi has hit dangerous levels - entering the ""severe-plus emergency"" category. https://t.co/r1jI7ijxO6",Pollution Delhi hit dangerous levels entering `` severe-plus emergency '' category,-0.6,0.9,250.0,169.0,False,,,,Al Jazeera English,"Doha, Qatar",Hear the human story and join the discussion. For more news follow @AJENews.,6399688,218,51428,261488,6632,True,NEGATIVE,[0.23038661]
5,5,1191975357227905026,salimdambam,Wed Nov 06 07:07:25 +0000 2019,"""As Air Quality Index, AQI breached the allowable figures, authorities in New Delhi introduced odd-even scheming for vehicular movements such that vehicles population is reduced by half with the alternation.""

https://t.co/EMtmyPeSb5",`` As Air Quality Index AQI breached allowable figures authorities New Delhi introduced odd-even scheming vehicular movements vehicles population reduced half alternation '',-0.015151515151515154,0.3106060606060606,1.0,0.0,False,,,"Ikeja, Nigeria",Salimu,"Abuja, Nigeria","Sabr ya Nafs, this Dunya isn't home!",1543,805,1,40242,16674,False,NEUTRAL,[0.4545766]
6,6,1211884986187599875,salimdambam,Tue Dec 31 05:41:11 +0000 2019,Even AQI sensors went mad. https://t.co/ju4gJKsidv,Even AQI sensors went mad,-0.625,1.0,0.0,0.0,False,,,"Ikeja, Nigeria",Salimu,"Abuja, Nigeria","Sabr ya Nafs, this Dunya isn't home!",1543,805,1,40242,16674,False,NEGATIVE,[0.13143262]
7,7,1218568275396898817,SirLeoBDasilva,Sat Jan 18 16:18:11 +0000 2020,Honestly Leno isn’t as good as you people make him look. Has a lot of work to do to become what he thinks he is.,Honestly Leno isnt good people make look Has lot work become thinks,0.6499999999999999,0.75,19.0,0.0,,,,,Leo Dasilva,Lagos/London/Hertfordshire,"Equity Investor, Humanitarian @rmodrive, @Arsenal Collective Member (official). Email me: leo@leobdasilva.com and click on my website. INSTA : SirLeoBDasilva.",96683,3528,57,98468,5220,False,NEGATIVE,[0.29072285]
8,8,1218413176263532550,ada_anaekwe,Sat Jan 18 06:01:52 +0000 2020,#TachaXTitanscollection @RealityJoel do you know Tacha is my Writers Block remedy 🙈🙈🙈🙈 Only writers will understand this... She's #FreshAir https://t.co/6hylmQRdge,know Tacha Writers Block remedy Only writers understand ... She 's,0.0,1.0,0.0,0.0,False,"TachaXTitanscollection, FreshAir",RealityJoel,"Ikeja, Nigeria",Freelance Writer 🔱,In your head!! In your heart!!,"Content Producer/Provider || Social Media|| Presenter|| PR Executive|| Good Music Addict || Freelance Writer 📝 anaekweadaeze@gmail.com
 IG @ada_anaekwe",854,837,6,12472,160,False,POSITIVE,[0.7521995]
9,9,1218577800694849536,omokoreadufe,Sat Jan 18 16:56:02 +0000 2020,"U getting there. Gradually,  gradually u will get there , #freshair https://t.co/NRULMecIDd",U getting Gradually gradually u get,0.0,0.0,1.0,0.0,False,freshair,,"Lagos, Nigeria","Do what I say, don't do what i do, God is love😍😘","Nig,Bots,",Say No to Xenophobia  #tayonation #spartans #teambisola #oneza #roksie,5626,2369,31,69958,23607,False,NEUTRAL,[0.6439095]
