,Unnamed: 0,Unnamed: 0.1,id,created_at,original_text,clean_text,polarity,subjectivity,favorite_count,retweet_count,possibly_sensitive,hashtags,user_mentions,place,sentiment,sentimentScore,,HandMade
56,58,58,1.20634E+18,Sun Dec 15 22:13:26 +0000 2019,Absolutely. We are helping in Ghana through our @ghanaaq project. What are you doing to improve #AirQuality https://t.co/pszC1pVgUf,Absolutely We helping Ghana project What improve,0.2,0.9,13,4,FALSE,AirQuality,GhanaAQ,"Central, Ghana",POSITIVE,[0.8107713],,TRUE
165,173,70,1.26666E+18,Sat May 30 09:36:59 +0000 2020,"Today is the beginning of another 365 days round the Sun ☀️🥳🎉🎂🥂🍾🎁💐💃✨ It’s a good day.... it’s a blue day...🕶 😊
#SunIsOut☀️😊
#BlueSkies ❤️❤️❤️
#BirthdayTings @ Nairobi, Kenya, Africa https://t.co/wgPyjAJvOH",Today beginning another 365 days round Sun ️🥳🥂 It ’ good day ... ’ blue day ... ️ ️️️ Nairobi Kenya Africa,0.166666667,0.366666667,0,0,FALSE,"SunIsOut, BlueSkies, BirthdayTings",,"Nairobi, Kenya",POSITIVE,[0.7828293],,TRUE
202,210,32,1.29016E+18,Mon Aug 03 05:49:55 +0000 2020,"Beautiful 13,35km walk, on the middle of nowhere. 4.5hrs. Came out with some cuts and scratches but it was worth it

#gayinstagram #gaystraightalliance #gayboy #hikes #nature #freshair #loveislove @ Silvermine… https://t.co/j1JaWFVZBN","Beautiful 13,35km walk middle nowhere 4.5hrs Came cuts scratches worth Silvermine…",0.383333333,0.366666667,0,0,FALSE,"gayinstagram, gaystraightalliance, gayboy, hikes, nature, freshair, loveislove",,"Cape Town, South Africa",POSITIVE,[0.714044],,FALSE
117,122,19,1.26819E+18,Wed Jun 03 14:19:25 +0000 2020,"Benefits of cycling are numerous, but we have something from .@truppr 
.@UNEP #WorldBicycleDay #ClimateAction #BeatAirPollution #ForNature https://t.co/rLHL3C0cQW",Benefits cycling numerous something,0,0.5,2,0,FALSE,"WorldBicycleDay, ClimateAction, BeatAirPollution, ForNature","truppr, UNEP","Ikeja, Nigeria",POSITIVE,[0.82441723],,TRUE
251,260,82,1.3117E+18,Thu Oct 01 16:00:26 +0000 2020,"Here are a few HVAC marketing strategies that can lead to a higher return on investment in the form of contacts and conversions. 

These can be applied to lots of other industries too!

https://t.co/OImUiZenuB via @graphicmachine 
#HVAC #digitalmarketing https://t.co/HL3eHHzjou",Here HVAC marketing strategies lead higher return investment form contacts conversions These applied lots industries via,0.25,0.5,0,0,FALSE,"HVAC, digitalmarketing",graphicmachine,,POSITIVE,[0.7905204],,FALSE
194,202,24,1.30295E+18,Mon Sep 07 12:22:16 +0000 2020,"Did you listen to Lagos Talks today? 🤔🤔

Today being the 7th of  September 2020, for the first time ever, the world will join together to mark the UN's international day of clean air for blue skies The theme for 2020 is ""Clean Air for all""
.
.
#smooth981fm
#CleanAirForAll https://t.co/8lrp2oUzMu",Did listen Lagos Talks today 🤔🤔 Today 7th September 2020 first time ever world join together mark UN 's international day clean air blue skies The theme 2020 `` Clean Air '',0.196666667,0.366666667,5,1,FALSE,"smooth981fm, CleanAirForAll",,"Victoria Island, Nigeria",POSITIVE,[0.8991021],,FALSE
188,196,18,1.31204E+18,Fri Oct 02 14:25:43 +0000 2020,"#Globalwarming: Are there effective and equitable solutions yet? These 4 countries produce the world largest #CO2 #emissions.
#China #USA #India #Russian Via @ITEdgeNewsNg @HS2ltd #ucsusa @MikeQuindazzi @ValaAfshar #GlobalWarming #pollution  https://t.co/J4YfaLZnqd https://t.co/Ue8eJhRt3r",Are effective equitable solutions yet These 4 countries produce world largest Via,0.6,0.8,2,1,FALSE,"Globalwarming, CO2, emissions, China, USA, India, Russian, ucsusa, GlobalWarming, pollution","ITEdgeNewsNG, HS2ltd, MikeQuindazzi, ValaAfshar",,POSITIVE,[0.86086035],,FALSE
104,108,5,1.24971E+18,Mon Apr 13 15:02:49 +0000 2020,"Good evening Nigeria...hope your are edifying you’re body as much as your soul? #freshair #freshface #freshcut #selfdevelopment #selfawareness #unlearntolearnagain @ Lagos, Nigeria https://t.co/jntvNpAgai",Good evening Nigeria ... hope edifying ’ body much soul Lagos Nigeria,0.45,0.4,0,0,FALSE,"freshair, freshface, freshcut, selfdevelopment, selfawareness, unlearntolearnagain",,"Lagos, Nigeria",POSITIVE,[0.84549123],,TRUE
54,56,56,1.21466E+18,Tue Jan 07 21:36:07 +0000 2020,Harmattan in Accra is at its peak. Suspended sand particles blown all the way from Sahara. Can't wait to see the blue skies back. Get your own #AirSense monitoring device today... #AirQuality #sensors  @SGS_SA https://t.co/II8uDsnlkt,Harmattan Accra peak Suspended sand particles blown way Sahara Ca n't wait see blue skies back Get monitoring device today ...,0,0.05,2,0,FALSE,"AirSense, AirQuality, sensors",SGS_SA,"Accra, Ghana",POSITIVE,[0.73196626],,FALSE
71,73,73,1.19232E+18,Thu Nov 07 05:45:15 +0000 2019,The first #AirQuality Management course for #Counties leading with @NairobiCounty1 partnering with @SK_UNEP and @JoshVandeHey @SEIresearch @CleanAirJ and @ANGA_AtmosSci with #Environment and #Health officers. We hope this is one of many #trainthetrainers https://t.co/fQg4FLw7ZO,The first Management course leading partnering officers We hope one many,0.375,0.416666667,26,9,FALSE,"AirQuality, Counties, Environment, Health, trainthetrainers","NairobiCounty1, SK_UNEP, JoshVandeHey, SEIresearch, CleanAirJ, ANGA_AtmosSci","Nairobi, Kenya",POSITIVE,[0.845635],,FALSE
