,tweet_text,tweet_date,retweet_count,favorite_count
IAQsusan,"b'RT @ashishkjha: This is true. \n\nIf an organization does ""deep cleaning"" as a primary strategy  to keep people safe, they aren\'t being serio\xe2\x80\xa6'",Mon Sep 28 23:18:12 +0000 2020,770,0
thetechsamya,"b'#Pollutants that are released into the #air, as opposed to #land and #water pollutants, are the most harmful. Our grassroots project \xf0\x9f\x91\x89https://t.co/PMRTylvx3f is set to reduce #emissions from #transport &amp; #industry in Uganda &amp; beyond but needs a #helpinghand. https://t.co/WGbckoDhur'",Tue Sep 15 20:46:49 +0000 2020,2,6
SeeTheAirBot,b'RT @MumsForLungs: Please take two minutes to email your MP and ask them to support @WHO limits being built into the forthcoming #Environmen\xe2\x80\xa6',Thu Oct 01 12:14:19 +0000 2020,16,0
elonfantommy,b'@sandram88809597 @RachelBock9 How are females threatened by letting males have a male only space?',Thu Oct 01 17:36:41 +0000 2020,0,0
INFORSE_org,b'RT @EastInforse: The 2020 event will be held semi-virtually\xf0\x9f\x93\xb1\xf0\x9f\x93\xb2 due to the global #COVID19 Pandemic that has limited social and public gather\xe2\x80\xa6',Mon Sep 14 12:16:15 +0000 2020,1,0
ESusWatch,b'@NavdanyaInt @FRAUGANDA #seeds https://t.co/w7TH2RLwC2',Mon Apr 27 09:34:38 +0000 2020,0,0
AfricaSustain1,b'The #ClimateLaunchpad Global Grand Finals have began today. Join the biggest green business ideas competition and watch exciting green business innovations from 68 start-ups. \n\nRegister here\xe2\x9e\xa1\xef\xb8\x8fhttps://t.co/ObsytohmfT | #CLP20 #greenbusiness #globalgrandfinals https://t.co/cDVTM2SXoU',Wed Sep 30 10:09:11 +0000 2020,3,3
solhog,"b'RT @MichaelEMann: ""The worst is yet to come for the Greenland ice sheet"" via @Nature: https://t.co/5jZWpRmlfC\nOh, I flipped their graph (of\xe2\x80\xa6'",Thu Oct 01 23:43:37 +0000 2020,89,0
RichardMunang,"b'RT @RichardMunang: Only you can create the future you desire. It entails hard work, it entails discipline, passion to learn NOT complains a\xe2\x80\xa6'",Thu Oct 01 20:33:06 +0000 2020,16,0
CodesmithSys,"b""Getting micro-influencers involved isn't just for B2C - it can boost your B2B social media strategy.\n\nSo, build a brand tribe, and get influencing. \n\nRead more here. \n\nBy @wearearticulate\n#socialmedia #marketing #influencers\n\nhttps://t.co/nlphT6cQ1s""",Tue Sep 29 16:00:29 +0000 2020,0,0
