,id,created_at,clean_text,hashtags,place,timeline
0,1.20046E+18,Fri Nov 29 17:12:16 +0000 2019,It 's another SustyFriday Today wade Air Pollution Nigeria Causes Effects Solutions ..,"Sustyfacts, Sustyfriday",,pre
1,1.20047E+18,Fri Nov 29 17:38:57 +0000 2019,Get required information knowledge Thank thread,"AirPollution, Nigeria, StareDownOnPollution, BeatAirPollution, SustyFacts, SustyFriday, SOTSOnDuty","Lagos, Nigeria",pre
2,1.192E+18,Wed Nov 06 08:38:05 +0000 2019,kills million people every year main driver Children exposed high levels air pollution may greater risk chronic diseases,"AirPollution, ClimateChange","Lagos, Nigeria",pre
3,1.21163E+18,Mon Dec 30 12:59:14 +0000 2019,Climate Change Bastardize ecological footprints Nation Just last month New Delhi witnessed 's worst air pollution,,"Ikeja, Nigeria",pre
4,1.19194E+18,Wed Nov 06 05:05:00 +0000 2019,Pollution Delhi hit dangerous levels entering `` severe-plus emergency '' category,,,pre
5,1.19198E+18,Wed Nov 06 07:07:25 +0000 2019,`` As Air Quality Index AQI breached allowable figures authorities New Delhi introduced odd-even scheming vehicular movements vehicles population reduced half alternation '',,"Ikeja, Nigeria",pre
6,1.21188E+18,Tue Dec 31 05:41:11 +0000 2019,Even AQI sensors went mad,,"Ikeja, Nigeria",pre
7,1.21857E+18,Sat Jan 18 16:18:11 +0000 2020,Honestly Leno isnt good people make look Has lot work become thinks,,,pre
8,1.21841E+18,Sat Jan 18 06:01:52 +0000 2020,know Tacha Writers Block remedy Only writers understand ... She 's,"TachaXTitanscollection, FreshAir","Ikeja, Nigeria",pre
9,1.21858E+18,Sat Jan 18 16:56:02 +0000 2020,U getting Gradually gradually u get,freshair,"Lagos, Nigeria",pre
10,1.24128E+18,Sat Mar 21 08:40:45 +0000 2020,Forests cover Earths surface Forests trees store carbon helps mitigate impacts climate change around urban areas also improve local climate helping save energy used heating -50 percent,"IntForestDay, BetterWithForests","Lagos, Nigeria",pre
