id,created_at,original_text,clean_text,polarity,subjectivity,favorite_count,retweet_count,possibly_sensitive,hashtags,user_mentions,place
1302956916092608512,Mon Sep 07 13:08:31 +0000 2020,"#CleanAirForAll
Taking action on transport is action for #CleanAirForAll &amp; #ClimateAction.
What can you do to #ClearTheAir?
✅ Walk
✅ Take public transport 🚃
✅ Cycle 🚲

Learn more: https://t.co/11ghzc1SY2
#WorldCleanAirDay https://t.co/IJlU9gxRQ6",Taking action transport action amp What Walk Take public transport Cycle Learn,0.06666666666666667,0.08888888888888889,8,5,False,"CleanAirForAll, CleanAirForAll, ClimateAction, ClearTheAir, WorldCleanAirDay",,"Lagos, Nigeria"
1302945279101075456,Mon Sep 07 12:22:16 +0000 2020,"Did you listen to Lagos Talks today? 🤔🤔

Today being the 7th of  September 2020, for the first time ever, the world will join together to mark the UN's international day of clean air for blue skies The theme for 2020 is ""Clean Air for all""
.
.
#smooth981fm
#CleanAirForAll https://t.co/8lrp2oUzMu",Did listen Lagos Talks today 🤔🤔 Today 7th September 2020 first time ever world join together mark UN 's international day clean air blue skies The theme 2020 `` Clean Air '',0.19666666666666668,0.3666666666666667,5,1,False,"smooth981fm, CleanAirForAll",,"Victoria Island, Nigeria"
1302893126495932416,Mon Sep 07 08:55:02 +0000 2020,"Air pollution is a threat to sustainable development, as it simultaneously affects various social, environmental &amp; economic criteria linked to equitable human development, such as good health, food security, gender equality, climate stability &amp; poverty reduction
#WorldCleanAirDay https://t.co/nklnbwgrP9",Air pollution threat sustainable development simultaneously affects various social environmental amp economic criteria linked equitable human development good health food security gender equality climate stability amp poverty reduction,0.18666666666666668,0.29333333333333333,395,210,False,WorldCleanAirDay,,
1302895825769689088,Mon Sep 07 09:05:46 +0000 2020,"#WorldCleanAirDay What has been your contribution to #StareDownOnPollution especially #AirPollution 
Take #Sustainable Action today #Cycling @SustyVibes https://t.co/htFqQ8wAlP",What contribution especially Take Action today,0.05,0.55,1,2,False,"WorldCleanAirDay, StareDownOnPollution, AirPollution, Sustainable, Cycling",SustyVibes,"Lagos, Nigeria"
1302734576268214272,Sun Sep 06 22:25:01 +0000 2020,Today #UN &amp; its Member States commemorate the first International Day Of Clean Air For Blue Skies. #ClimateAction on #WorldCleanAirDay What are you doing to #ClearTheAir? #ClimateCrisis #CleanAirForBlueSkies #SeasonOfCreation #ArborMonth @environmentza @SAgovnews @eNCA #sabcnews https://t.co/WTzXjoXpUz,Today amp Member States commemorate first International Day Of Clean Air For Blue Skies What,0.15416666666666667,0.2833333333333334,8,6,False,"UN, ClimateAction, WorldCleanAirDay, ClearTheAir, ClimateCrisis, CleanAirForBlueSkies, SeasonOfCreation, ArborMonth, sabcnews","environmentza, SAgovnews, eNCA","Cape Town, South Africa"
1303025365229744132,Mon Sep 07 17:40:30 +0000 2020,#CleanAirForAll #CleanAirForBlueSkies #CleanAirDay #CleanAirJoburg #CleanAirTshwane https://t.co/kitWcKnUQQ,,0.0,0.0,0,0,False,"CleanAirForAll, CleanAirForBlueSkies, CleanAirDay, CleanAirJoburg, CleanAirTshwane",,"Soweto, South Africa"
1302133385440227328,Sat Sep 05 06:36:06 +0000 2020,"@mphomoerane @COJ @CityofJoburgZA @CityPowerJhb @CleanerJoburg @JHBWater The @jegpf supports the sustainability of a 36 hectare park in tbe heart of Johannesburg. By conserving such a large green space we are  increasing flora, reducing the impact of smoke, and increasing biodiversity whilst promoting active citizenry.",The supports sustainability 36 hectare park tbe heart Johannesburg By conserving large green space increasing flora reducing impact smoke increasing biodiversity whilst promoting active citizenry,-0.03968253968253969,0.44285714285714284,2,0,,,"mphomoerane, COJ, CityofJoburgZA, CityPowerJhb, CleanerJoburg, JHBWater, jegpf",
1311259691931099136,Wed Sep 30 11:00:47 +0000 2020,The environment and humanity requires sustainable clean air for life. #CleanAirForAll #CleanAirTshwane,The environment humanity requires sustainable clean air life,0.3666666666666667,0.7000000000000001,4,1,,"CleanAirForAll, CleanAirTshwane",,
1303003707051839488,Mon Sep 07 16:14:27 +0000 2020,"Overlooking Protea Glen, Soweto from the N12 highway
#CleanAirForAll
#CleanAirJ
#AfricaAQ
#CleanAirForBlueSkies
#CleanAirJoburg https://t.co/x6DGkCRrt9",Overlooking Protea Glen Soweto N12 highway,0.0,0.0,7,5,False,"CleanAirForAll, CleanAirJ, AfricaAQ, CleanAirForBlueSkies, CleanAirJoburg",,"Soweto, South Africa"
1302995916601864197,Mon Sep 07 15:43:29 +0000 2020,Observing International Day of Clean Air for Blue Skies.#CleanAirForBlueSkies #CleanAirForAll#CleanAirJoburg#CleanAirTshwane https://t.co/VaUJD4i6yu,Observing International Day Clean Air Blue Skies,0.12222222222222223,0.26666666666666666,6,4,False,CleanAirForBlueSkies,,
