,Unnamed: 0,id,created_at,clean_text,hashtags,place,timeline
0,0,1.20046E+18,2019-11-29 17:12:16+00:00,It 's another SustyFriday Today wade Air Pollution Nigeria Causes Effects Solutions ..,"Sustyfacts, Sustyfriday",,pre
1,1,1.20047E+18,2019-11-29 17:38:57+00:00,Get required information knowledge Thank thread,"AirPollution, Nigeria, StareDownOnPollution, BeatAirPollution, SustyFacts, SustyFriday, SOTSOnDuty","Lagos, Nigeria",pre
2,2,1.192E+18,2019-11-06 08:38:05+00:00,kills million people every year main driver Children exposed high levels air pollution may greater risk chronic diseases,"AirPollution, ClimateChange","Lagos, Nigeria",pre
3,3,1.21163E+18,2019-12-30 12:59:14+00:00,Climate Change Bastardize ecological footprints Nation Just last month New Delhi witnessed 's worst air pollution,,"Ikeja, Nigeria",pre
4,4,1.19194E+18,2019-11-06 05:05:00+00:00,Pollution Delhi hit dangerous levels entering `` severe-plus emergency '' category,,,pre
5,5,1.19198E+18,2019-11-06 07:07:25+00:00,`` As Air Quality Index AQI breached allowable figures authorities New Delhi introduced odd-even scheming vehicular movements vehicles population reduced half alternation '',,"Ikeja, Nigeria",pre
6,6,1.21188E+18,2019-12-31 05:41:11+00:00,Even AQI sensors went mad,,"Ikeja, Nigeria",pre
7,7,1.21857E+18,2020-01-18 16:18:11+00:00,Honestly Leno isnt good people make look Has lot work become thinks,,,pre
8,8,1.21841E+18,2020-01-18 06:01:52+00:00,know Tacha Writers Block remedy Only writers understand ... She 's,"TachaXTitanscollection, FreshAir","Ikeja, Nigeria",pre
9,9,1.21858E+18,2020-01-18 16:56:02+00:00,U getting Gradually gradually u get,freshair,"Lagos, Nigeria",pre
10,10,1.24128E+18,2020-03-21 08:40:45+00:00,Forests cover Earths surface Forests trees store carbon helps mitigate impacts climate change around urban areas also improve local climate helping save energy used heating -50 percent,"IntForestDay, BetterWithForests","Lagos, Nigeria",pre
11,11,1.24128E+18,2020-03-21 08:40:50+00:00,Strategic placement trees urban areas cool air degrees Celsius reducing air conditioning needs percent.Urban trees excellent air filters removing harmful pollutants air fine particulates,,"Lagos, Nigeria",pre
12,12,1.22972E+18,2020-02-18 10:33:34+00:00,,"GreenPeace, AirPollution","Cape Town, South Africa",pre
13,13,1.22753E+18,2020-02-12 09:31:08+00:00,Official update Oceana Fishmeal Factory Hout Bay closed,"FAHB, Oceana, HoutBay, Houtbayfishmealfactory, houtbayHarbour, freshairforhoutbay, airpollution","Hout Bay, South Africa",pre
14,14,1.19026E+18,2019-11-01 13:41:56+00:00,BBC News Millions masks distributed students 'gas chamber Delhi //,"airpollution, toxicair, foreverychild, cleanair","Cape Town, South Africa",pre
15,15,1.19414E+18,2019-11-12 06:11:31+00:00,The govt India needs proactive tackling increasing air pollution Delhi many Indian cities Requires carefully looking situation coming sustainable solutions Look Beijing example,"AirPollution, DelhiAirEmergency","Cape Town, South Africa",pre
16,16,1.19414E+18,2019-11-12 06:14:43+00:00,One idea stood using smog catching ionizing towers Dutch entrepreneur,"AirPollution, DelhiAirEmergency","Cape Town, South Africa",pre
17,17,1.20074E+18,2019-11-30 11:28:50+00:00,EXIT COAL ENTER FUTURE Massenhaft und ungehorsam auf dem Weg zu Klimagerechtigkeit,"AlleGegenKohle, EndeGelaende",,pre
18,18,1.20082E+18,2019-11-30 16:59:54+00:00,Mass civil disobedience action Germany More occupy coal mine stopping operations temporarily,"endcoal, climatejustice","Cape Town, South Africa",pre
19,19,1.20147E+18,2019-12-02 11:55:05+00:00,Mlna David 's obs TOP CLASS,,"Cape Town, South Africa",pre
20,20,1.22432E+18,2020-02-03 13:21:09+00:00,Cold water myprodol medlemon lucozade meal.Idk works,,"Cape Town, South Africa",pre
21,21,1.20739E+18,2019-12-18 20:16:02+00:00,My baby.. chommie dums partner You know reggest girl world ne Thank accepting Dom behavior You fav I 'm thankful.. I love friend,,"Cape Town, South Africa",pre
22,22,1.22432E+18,2020-02-03 13:13:30+00:00,poeste headache Like poeste one Like big,,,pre
23,23,1.21677E+18,2020-01-13 17:16:53+00:00,I born game Les Dala..,,"Cape Town, South Africa",pre
24,24,1.2014E+18,2019-12-02 07:19:08+00:00,someone pls recommend good marriage class,,,pre
25,25,1.21677E+18,2020-01-13 17:27:53+00:00,thank always hyping thank teaching true meaning friendship first year university,,,pre
26,26,1.20302E+18,2019-12-06 18:42:03+00:00,ou sieka,,,pre
27,27,1.21678E+18,2020-01-13 17:32:25+00:00,This friends doe.. I 'll always hype I 'll make feel important girl,,"Cape Town, South Africa",pre
28,28,1.20302E+18,2019-12-06 18:21:31+00:00,My ou kak cause I 'm going says I spend little time home I 'm home I lam room mense tiep lam.To tripping trynna good time man.Permi making swak ouense,,"Cape Town, South Africa",pre
29,29,1.21677E+18,2020-01-13 17:26:54+00:00,even though I ai n't shit You still hype fuck me.. plus amazing smile.. adorable smile makes heart skip beat,,"Cape Town, South Africa",pre
30,30,1.20302E+18,2019-12-06 18:42:46+00:00,Do bilingual understand parents,,"Cape Town, South Africa",pre
31,31,1.19026E+18,2019-11-01 13:41:56+00:00,BBC News Millions masks distributed students 'gas chamber Delhi //,"airpollution, toxicair, foreverychild, cleanair","Cape Town, South Africa",pre
32,32,1.24075E+18,2020-03-19 21:15:20+00:00,Instead sitting traffic got walk beach work ... without touching anyone,"socialdistancing, covid, houtbay, beach, donttouchme, sunshine, freshair, stayhealthy, exercise, keithtwins","Hout Bay, South Africa",pre
33,33,1.2009E+18,2019-11-30 22:12:20+00:00,Getting fresh air enjoying sea breeze V amp A Waterfront,"freshair, seabreeze","Mitchell's Plain, South Africa",pre
34,34,1.19563E+18,2019-11-16 09:09:31+00:00,Unisa Western Cape Region,"freshair, rooftop, exams","Parow, South Africa",pre
35,35,1.24166E+18,2020-03-22 09:27:41+00:00,While still ... Top Of Chappies,"socialdistancing, freshair, ride, chappies, keepingthesquirrelsquiet","Cape Town, South Africa",pre
36,36,1.1946E+18,2019-11-13 12:55:27+00:00,morning leigh_anne_kenny Seapoint Bantry Bay Promenade,"seapoint, pool, morningswims, powerwalks, capetown, summervibes, earlybirds, mist, ocean, blueskies, freshair, lovemyhood, beautyinyoursurroundings","Cape Town, South Africa",pre
37,37,1.20499E+18,2019-12-12 05:18:29+00:00,This adventure I would advise anyone everyone breathtaking scenery Cape Town,"Hiking, Adventuring, Exploring, Fitness, FreshAir, Mountains, Caves, LivingTheLifeYouLove, DoMore","Cape Town, South Africa",pre
38,38,1.23988E+18,2020-03-17 12:00:59+00:00,restraints sound Mouille Point Promenade,"coronavirus, powerwalk, freshair, ocean, sunshine","Cape Town, South Africa",pre
39,39,1.2444E+18,2020-03-29 23:13:14+00:00,Bottle,,"Soweto, South Africa",pre
40,40,1.21551E+18,2020-01-10 05:28:49+00:00,If smell pungent air morning theres east wind blowing emissions coal plants Joburg AQI around moment Eskoms health cant afford apparently childrens health,,"Sandton, South Africa",pre
41,41,1.2424E+18,2020-03-24 10:25:24+00:00,At old Weltevredenpark Gauteng South Africa,"neighborhood, adventuretime, freshair, lockdown","Roodepoort, South Africa",pre
42,42,1.2279E+18,2020-02-13 10:27:35+00:00,Take time get smell roses.Well ... arent roses ... least could enjoy little purple flowers,"GetOutThere, FreshAir","Roodepoort, South Africa",pre
43,43,1.20028E+18,2019-11-29 05:12:08+00:00,Me nature always makes awesome adventure ... ..,"latergram, flashbackfriday, metime, trailwalk, trailrunning, morningperson, morningbuzz, soundsofnature, nature, outdoors, freshair",South Africa,pre
44,44,1.23281E+18,2020-02-26 23:16:57+00:00,A back I particulates campaign challenge I think bring awareness LBGTIQ community It wonderful experience coz first time make I actually went,,"Midrand, South Africa",pre
45,45,1.2339E+18,2020-02-29 23:25:57+00:00,My interview BBC World Service //,AirPollution,"Central, Ghana",pre
46,46,1.23827E+18,2020-03-13 00:47:43+00:00,Great news Helps tackle Emissions imported old vehicles major source,AirPollution,"Cape Coast, Ghana",pre
47,47,1.23344E+18,2020-02-28 17:05:09+00:00,Luxembourg first country make public transport free,,,pre
48,48,1.1902E+18,2019-11-01 09:42:51+00:00,ACCRA Smoke lungsLarge plumes black grey smoke Accra city Whenever e-waste burnt happens city live A huge smoke majestically travels share present lungs,"MyGhana, Airpollution, PaulAddoPhotography","Oyarifa, Ghana",pre
49,49,1.23481E+18,2020-03-03 11:55:28+00:00,Great initiative Mitigate big time How I wish countries Africa follow suit,"AirPollution, ClimateChange","Cape Coast, Ghana",pre
50,50,1.23389E+18,2020-02-29 23:07:41+00:00,Green infrastructure mitigates,AirPollution,"Central, Ghana",pre
51,51,1.21466E+18,2020-01-07 21:36:07+00:00,Harmattan Accra peak Suspended sand particles blown way Sahara Ca n't wait see blue skies back Get monitoring device today ...,"AirSense, AirQuality, sensors","Accra, Ghana",pre
